wavelength_nm,chlorophyll-a,chlorophyll-b,fucoxanthin,prasinoxanthin
606.5,0.003146094,0.002289791,0.000278827,0.000107776
605.6,0.003008205,0.002299651,0.000283131,0.000112382
604.7,0.002934967,0.002359577,0.000281074,0.000144922
603.9,0.002799832,0.002416478,0.000276127,8.60666e-05
603.0,0.002714111,0.002443042,0.000264675,0.000113152
602.2,0.002593998,0.002508684,0.000280792,0.000108114
601.3,0.00251278,0.002582178,0.000273736,0.00012797
600.5,0.002368124,0.0026159,0.00021951,8.63761e-05
599.6,0.00230077,0.002630411,0.000272429,0.000120063
598.8,0.002154927,0.002621084,0.000295016,0.000132268
597.9,0.002145536,0.002672207,0.000289862,0.000125974
597.1,0.002034888,0.0026745,0.000271789,0.000138703
596.2,0.00199613,0.002680576,0.000272032,0.000176742
595.4,0.001903224,0.002658724,0.000254399,0.000177466
594.5,0.001866927,0.002616902,0.000273759,0.000201816
593.7,0.001872686,0.002659107,0.000265953,0.000143422
592.8,0.001840411,0.002604025,0.000264696,0.000233157
591.9,0.001840198,0.002572451,0.000271054,0.000166018
591.1,0.001867247,0.002539028,0.000263243,0.000189181
590.2,0.001855855,0.002500238,0.000248785,0.000166365
589.4,0.001929694,0.002440707,0.000244114,0.000198791
588.5,0.001927341,0.00244745,0.000259352,0.00014602
587.7,0.001958215,0.002318948,0.000283815,0.000216948
586.8,0.001981374,0.002270232,0.000300877,0.000201099
586.0,0.002024507,0.002214972,0.000241793,0.00022903
585.1,0.002047136,0.002196756,0.000250705,0.000210152
584.3,0.002106247,0.002109504,0.000269556,0.000210254
583.4,0.002079777,0.002056687,0.000285576,0.000243101
582.6,0.00213313,0.001986953,0.000286251,0.000262708
581.7,0.002095135,0.001960243,0.000267292,0.000245496
580.9,0.002133159,0.001925617,0.000266025,0.000308216
580.0,0.002066247,0.001883433,0.000304655,0.00029338
579.1,0.00209079,0.001846272,0.000300776,0.000322514
578.3,0.002053648,0.00184357,0.000331955,0.000311427
577.4,0.002030979,0.001797587,0.0003068,0.000383194
576.6,0.001978205,0.001777732,0.000324952,0.0003318
575.7,0.001998303,0.001732928,0.000344619,0.000424678
574.9,0.001937812,0.001739676,0.000372098,0.000368281
574.0,0.001912074,0.001697204,0.00034774,0.000425274
573.2,0.001835906,0.001684771,0.000388866,0.000446593
572.3,0.001832552,0.001692904,0.000397948,0.000451711
571.5,0.001770026,0.001723854,0.000387879,0.000496305
570.6,0.001731209,0.001684099,0.000383075,0.000512645
569.8,0.001635246,0.001696,0.000439076,0.000567701
568.9,0.001638329,0.001674923,0.000473774,0.000649489
568.1,0.001540357,0.001636227,0.000464351,0.000640775
567.2,0.001497145,0.001613593,0.000511792,0.000663539
566.3,0.001437526,0.001642832,0.000516853,0.000689688
565.5,0.001382516,0.00160792,0.000536842,0.000715598
564.6,0.00127416,0.001609792,0.000592945,0.000739623
563.8,0.001282372,0.001582104,0.000586085,0.000792926
562.9,0.001163194,0.001560567,0.000610463,0.000796119
562.1,0.001169272,0.00154064,0.000613454,0.000863741
561.2,0.001092301,0.001525581,0.000676654,0.000876927
560.4,0.001074112,0.001506975,0.000698972,0.000971257
559.5,0.00097347,0.00148035,0.000718837,0.000963893
558.7,0.000967894,0.001462863,0.00074685,0.001022415
557.8,0.000858224,0.001424108,0.000774662,0.001076204
557.0,0.00088658,0.001441372,0.00079368,0.001159383
556.1,0.000826823,0.001425436,0.000878975,0.001162362
555.3,0.000819598,0.001400749,0.00087481,0.00126346
554.4,0.0007727,0.001423305,0.000911123,0.001330816
553.5,0.000766006,0.001420477,0.000998775,0.001371401
552.7,0.000719439,0.001384675,0.001001386,0.001435968
551.8,0.000722554,0.001369694,0.001077603,0.001498687
551.0,0.000700897,0.001392958,0.001104984,0.001554806
550.1,0.000781891,0.001428369,0.00116654,0.00163323
549.3,0.000683662,0.001358761,0.001235206,0.001746779
548.4,0.00073874,0.001395705,0.001268246,0.001831767
547.6,0.000707823,0.001346314,0.001321328,0.001871453
546.7,0.000759301,0.001396001,0.001408078,0.002000008
545.9,0.000713505,0.001360174,0.001459168,0.002068051
545.0,0.000731766,0.001416358,0.001528089,0.002181568
544.2,0.000739651,0.001344426,0.001578702,0.002214803
543.3,0.000742909,0.001341909,0.001659372,0.002328415
542.5,0.000751341,0.001330596,0.001797711,0.002453728
541.6,0.000780729,0.001321223,0.001801366,0.002617177
540.7,0.000741438,0.0012789,0.001914774,0.002727674
539.9,0.000790925,0.001280467,0.002063825,0.002867851
539.0,0.000799656,0.001276269,0.002166595,0.002985153
538.2,0.000775079,0.001219103,0.002223164,0.003134368
537.3,0.000790553,0.001205469,0.00235371,0.003294757
536.5,0.000788512,0.001187623,0.002477,0.003458901
535.6,0.00077187,0.001162584,0.002579325,0.003580005
534.8,0.000792534,0.001154569,0.00272065,0.003782706
533.9,0.000764748,0.001106114,0.002835254,0.003974065
533.1,0.000789734,0.00111035,0.002945894,0.004184751
532.2,0.000781103,0.001073005,0.00313095,0.004354716
531.4,0.000770793,0.001011723,0.003225741,0.004591958
530.5,0.00075345,0.00102113,0.003410462,0.004755105
529.7,0.000739348,0.000983297,0.003557062,0.004989646
528.8,0.000731756,0.000952111,0.003735074,0.00523684
527.9,0.00069918,0.000921734,0.003958617,0.005500394
527.1,0.00070923,0.000877657,0.004143065,0.005746007
526.2,0.000664296,0.000842373,0.004342317,0.006016346
525.4,0.000639786,0.000827354,0.004521929,0.006300724
524.5,0.000644964,0.000832137,0.004769252,0.006579239
523.7,0.000621613,0.000820098,0.005019231,0.006861595
522.8,0.000634314,0.000791178,0.005246665,0.007183096
522.0,0.000565998,0.000763033,0.005506682,0.00745852
521.1,0.000550046,0.000736894,0.005755171,0.007818217
520.3,0.000535899,0.000699458,0.006067756,0.008134555
519.4,0.000522741,0.000750394,0.006310637,0.00850551
518.6,0.000508324,0.000699666,0.006647129,0.008871792
517.7,0.000488769,0.000685782,0.006946509,0.009268081
516.9,0.000440205,0.000705451,0.007251989,0.009645545
516.0,0.00044341,0.00071876,0.007604713,0.010008018
515.1,0.000381343,0.000674408,0.007973851,0.010390734
514.3,0.000415477,0.000704283,0.008304292,0.010834399
513.4,0.000409174,0.000697209,0.008627317,0.011256024
512.6,0.000388885,0.000691836,0.008899179,0.011530869
511.7,0.000375736,0.000695887,0.009298774,0.011958682
510.9,0.000390568,0.000725219,0.00981695,0.012492801
510.0,0.00040092,0.000733691,0.010234124,0.013007983
509.2,0.000353939,0.000698565,0.010705083,0.013533341
508.3,0.000364508,0.000750853,0.011154071,0.014066788
507.5,0.000351033,0.000705196,0.011602403,0.014509144
506.6,0.000338945,0.000748454,0.012061125,0.015060215
505.8,0.000366084,0.000773691,0.012515511,0.015578766
504.9,0.000348602,0.000782559,0.013043832,0.016125203
504.1,0.000326673,0.000756055,0.013511001,0.016677331
503.2,0.000349753,0.00081195,0.014031535,0.017232059
502.3,0.000365603,0.000835923,0.014561641,0.017801014
501.5,0.000331715,0.000825513,0.015099498,0.01837979
500.6,0.000379981,0.000876547,0.015657496,0.018931996
499.8,0.000359742,0.000902587,0.016222252,0.019529301
498.9,0.000356269,0.000923786,0.016751629,0.020153673
498.1,0.000337518,0.000951869,0.017341614,0.020738364
497.2,0.000331148,0.001014295,0.017919032,0.021370832
