Wavelength,Peridinin,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,19'-keto-hexanoyloxyfucoxanthin,Violaxanthin,19'-hexanoyloxyfucoxanthin,Astaxanthin,Diadinoxanthin,Dinoxanthin,Antheraxanthin,Alloxanthin,Myxoxanthophyll,Diatoxanthin,Zeaxanthin,Lutein,Canthaxanthin,Gyroxanthin diester,Echinenone,"B,e-carotene","B,B-carotene",Chlorophyll-a,Chlorophyll-b,DV chlorophyll-a,Chlorophyllide-a,Phaeophorbide-a,Phaeophytin-a,Chlorophyll C3,chlorophyll c2
364.1,0.003258003,0.004455414,0.004471596,0.006929362,0.003553489,0.004287456,0.005172093,0.0034035,0.004347872,0.005243104,0.00475028,0.008682053,0.00393344,0.004521461,0.004989819,0.0038827,0.004767448,0.004702028,0.008732851,0.009096419,0.004682462,0.005555552,0.009141399,0.00613688,0.008133884,0.021047217,0.018022408,0.012921438,0.011489576,0.015349891
365.0,0.003329694,0.004641599,0.004665175,0.007065581,0.003683286,0.004343718,0.005522049,0.003506094,0.004425332,0.005408087,0.004999417,0.008956433,0.004053885,0.004397782,0.005230527,0.003984587,0.004917421,0.004690546,0.008982329,0.00905932,0.004848367,0.005574201,0.009381003,0.006105672,0.008308551,0.021430486,0.018469729,0.013258671,0.011432372,0.015297428
365.8,0.003418672,0.004840026,0.004850525,0.00733074,0.003814962,0.004474504,0.005800218,0.003682472,0.004473136,0.00557193,0.005301444,0.009083102,0.004228814,0.004498445,0.005455981,0.004111352,0.005131594,0.004819939,0.00905716,0.00928787,0.005024319,0.005712886,0.009518615,0.005961057,0.008350705,0.021846021,0.018893531,0.013592141,0.011472346,0.015367585
366.7,0.003504287,0.004940403,0.004938981,0.007562786,0.003980018,0.00473746,0.006045296,0.003781038,0.004564541,0.00584417,0.005477469,0.009230917,0.004443617,0.004450899,0.005647439,0.00433189,0.005409951,0.004959718,0.009451128,0.00925055,0.00533594,0.005874864,0.009690519,0.005896083,0.008465106,0.022303094,0.01936996,0.013874758,0.011402895,0.015570302
367.5,0.003589334,0.005057151,0.005150222,0.007941428,0.004108782,0.004830305,0.00626498,0.004037067,0.004700984,0.006225489,0.005755407,0.009438898,0.004619462,0.00452915,0.005696489,0.004473183,0.005696362,0.00495369,0.009720436,0.009371629,0.005624682,0.006132843,0.009959985,0.005869218,0.008610746,0.022602351,0.019737349,0.014193566,0.011407497,0.01553389
368.4,0.003646875,0.005266472,0.005349821,0.008078963,0.004207939,0.004974085,0.006600699,0.004160744,0.004710027,0.006398196,0.005901991,0.009762218,0.004734836,0.00450436,0.005897288,0.004647724,0.005912932,0.004993629,0.009870733,0.009520939,0.00581887,0.006227668,0.010173145,0.005787347,0.008760954,0.023050696,0.020101707,0.014425532,0.011340249,0.015739539
369.2,0.0037792,0.005453566,0.00548938,0.008280358,0.004398472,0.005119934,0.006856119,0.004278322,0.004842042,0.006679654,0.006186107,0.009736161,0.005028916,0.00448636,0.006187892,0.004830167,0.00613278,0.005086219,0.010142745,0.009488862,0.006164891,0.006465771,0.010463504,0.005693548,0.008784506,0.023288513,0.020446288,0.014683612,0.011342506,0.015703156
370.1,0.003848058,0.005442839,0.005660365,0.008451993,0.004530231,0.005347099,0.00694478,0.00444665,0.004793469,0.00696789,0.006395233,0.01015544,0.005273905,0.004339277,0.006424054,0.005032347,0.006490829,0.005231676,0.010544674,0.009581191,0.006305823,0.006652155,0.01058129,0.005609994,0.008987551,0.023741924,0.020732446,0.014936492,0.011355083,0.015836401
370.9,0.003924487,0.005708462,0.005818947,0.008664116,0.004728166,0.005404916,0.007320284,0.004688849,0.004873969,0.00726593,0.006613522,0.010198429,0.005479058,0.004417971,0.006700782,0.00518983,0.006758029,0.005155865,0.010647371,0.009618769,0.006659171,0.00685372,0.010771405,0.005536602,0.009050354,0.024042369,0.021028302,0.015161145,0.011221048,0.015946338
371.8,0.004027462,0.005896271,0.006038322,0.008794584,0.004964878,0.005726162,0.007566838,0.004770124,0.004902064,0.007479935,0.006846161,0.010561883,0.005757866,0.004288126,0.006987936,0.005509723,0.00691152,0.005403985,0.010983803,0.009824576,0.006800125,0.007051067,0.011009836,0.005539157,0.009237841,0.024374985,0.021314096,0.015334902,0.011226263,0.015934112
372.6,0.004150612,0.006046228,0.00621715,0.008968832,0.005070521,0.005736062,0.007753108,0.00501902,0.005073625,0.007799449,0.006942052,0.010685075,0.006020591,0.004262438,0.007258989,0.005801289,0.007201965,0.005321419,0.01119624,0.00992398,0.007215187,0.007269057,0.01119108,0.005470833,0.009349563,0.024634142,0.021574879,0.015540778,0.011253545,0.016163756
373.5,0.004253386,0.006206204,0.006386911,0.009129219,0.005298439,0.00597326,0.007853143,0.00517732,0.005078366,0.00805138,0.007132373,0.011017008,0.006230362,0.004252023,0.007475994,0.006008839,0.007477637,0.005555238,0.011515535,0.009915051,0.007442099,0.007485734,0.011379217,0.005521693,0.009544781,0.024903789,0.021825159,0.015715649,0.01115778,0.016145122
374.3,0.004302482,0.006440158,0.006600567,0.009604222,0.005426857,0.006191794,0.00811974,0.005355752,0.005174464,0.008461289,0.007358768,0.010901955,0.006520701,0.004284647,0.007856851,0.006116111,0.007756457,0.005648837,0.011774484,0.010005626,0.007670672,0.007707651,0.011514168,0.005388474,0.009569458,0.025310418,0.021987887,0.015888667,0.011268691,0.016322306
375.2,0.004518901,0.006662229,0.006774643,0.009707444,0.005685678,0.006426694,0.008247508,0.005504205,0.005219623,0.008666506,0.007540473,0.011078805,0.006803673,0.004218895,0.008055914,0.006437793,0.008002613,0.005740032,0.012024273,0.010062537,0.008040088,0.008012879,0.011563264,0.005328058,0.009659221,0.025471827,0.022223697,0.016042706,0.011198124,0.016448103
376.1,0.004568253,0.006823354,0.007062239,0.010055072,0.005863513,0.006617026,0.008455271,0.005809904,0.005366171,0.008990161,0.007736341,0.01148781,0.007087512,0.004112761,0.008411941,0.006597832,0.008240905,0.005843854,0.012316815,0.010294503,0.008262658,0.008161328,0.011704405,0.005298614,0.009801811,0.025766524,0.02243583,0.016195073,0.011260442,0.016561981
376.9,0.004719869,0.007126345,0.007168312,0.01030625,0.006014447,0.006790253,0.008766861,0.005958143,0.005409526,0.009234281,0.007965152,0.011544481,0.007368752,0.004114648,0.00878859,0.00690751,0.008521395,0.005936453,0.012603635,0.010196393,0.008540314,0.008457507,0.011796573,0.00529728,0.00991373,0.025912549,0.022659524,0.016404966,0.011250542,0.016857523
377.8,0.00488468,0.007235876,0.007451222,0.010784514,0.006250302,0.007026443,0.009003075,0.006204971,0.005573514,0.009533244,0.008160845,0.011769416,0.007656321,0.004120293,0.008941204,0.007209092,0.008751393,0.005956848,0.012962342,0.010412412,0.00885608,0.008714156,0.011843506,0.005282388,0.009979724,0.02616855,0.022876257,0.016566705,0.011254875,0.01689406
